id,name,re_nuclear,renewable
1,Falkland Islands,1,Y
2,Kiribati,1,Y
3,Bhutan,0.89,Y
4,Iceland,0.79,Y
5,Paraguay,0.77,Y
6,Tajikistan,0.68,Y
7,Norway,0.68,Y
8,Dem. Rep. Congo,0.67,Y
9,Sweden,0.66,Y
10,Zambia,0.62,Y
11,Malawi,0.57,Y
12,Uruguay,0.54,Y
13,Cook Islands,0.52,Y
14,Kyrgyzstan,0.52,Y
15,Saint Pierre & Miquelon,0.5,Y
16,Switzerland,0.49,Y
17,Costa Rica,0.48,Y
18,Finland,0.48,Y
19,France,0.46,Y
20,Mozambique,0.45,Y
21,Albania,0.44,Y
22,Burundi,0.43,Y
23,Lesotho,0.39,Y
24,Ethiopia,0.39,Y
25,Georgia,0.37,Y
26,Belize,0.36,Y
27,French Guiana,0.36,Y
28,New Zealand,0.36,Y
29,Brazil,0.36,Y
30,Lithuania,0.35,Y
31,Slovenia,0.35,Y
32,Uganda,0.34,Y
33,Slovakia,0.34,Y
34,Austria,0.34,Y
35,North Korea,0.33,Y
36,Eswatini,0.32,Y
37,Montenegro,0.32,Y
38,Nepal,0.32,Y
39,Canada,0.32,Y
40,El Salvador,0.31,Y
41,State of Palestine,0.3,Y
42,Namibia,0.3,Y
43,Armenia,0.3,Y
44,Denmark,0.3,Y
45,Honduras,0.29,Y
46,Greenland,0.28,Y
47,Cameroon,0.28,Y
48,Colombia,0.28,Y
49,Ukraine,0.27,Y
50,Macao,0.27,Y
51,Zimbabwe,0.27,Y
52,Latvia,0.26,Y
53,Croatia,0.26,Y
54,Ecuador,0.26,Y
55,Bulgaria,0.26,Y
56,Peru,0.26,Y
57,Suriname,0.25,Y
58,Nicaragua,0.25,Y
59,Guatemala,0.25,Y
60,Romania,0.25,Y
61,Spain,0.24,Y
62,Central African Republic,0.24,Y
63,Laos,0.24,Y
64,Venezuela,0.24,Y
65,Kenya,0.23,Y
66,Sudan,0.23,Y
67,Guinea,0.22,Y
68,Mali,0.22,Y
69,Hungary,0.22,Y
70,Belgium,0.22,Y
71,Réunion,0.21,Y
72,Myanmar,0.21,Y
73,Chile,0.21,Y
74,Angola,0.2,Y
75,Vietnam,0.2,Y
76,United Kingdom,0.2,Y
77,Vanuatu,0.19,Y
78,Rwanda,0.19,Y
79,Macedonia,0.19,Y
80,Ghana,0.19,Y
81,Czech Republic,0.19,Y
82,Germany,0.19,Y
83,United States,0.19,Y
84,Faeroe Islands,0.18,Y
85,Cambodia,0.18,Y
86,Portugal,0.18,Y
87,Afghanistan,0.17,Y
88,Serbia,0.17,Y
89,Togo,0.16,Y
90,Madagascar,0.16,Y
91,Panama,0.16,Y
92,Italy,0.16,Y
93,Dominica,0.15,Y
94,Luxembourg,0.14,Y
95,Argentina,0.13,Y
96,Turkey,0.13,Y
97,Fiji,0.13,Y
98,Gabon,0.13,Y
99,Ireland,0.13,Y
100,Greece,0.13,Y
101,Pakistan,0.13,Y
102,China,0.12,Y
103,Congo,0.12,Y
104,Philippines,0.12,Y
105,South Korea,0.12,Y
106,Estonia,0.11,Y
107,Sri Lanka,0.11,Y
108,Russia,0.11,Y
109,Chad,0.1,Y
110,French Polynesia,0.1,Y
111,Mauritania,0.1,Y
112,Japan,0.1,Y
113,Sao Tome & Principe,0.09,Y
114,Solomon Islands,0.09,Y
115,Samoa,0.09,Y
116,India,0.09,Y
117,Burkina Faso,0.08,Y
118,Equatorial Guinea,0.08,Y
119,Papua New Guinea,0.08,Y
120,Bosnia and Herzegovina,0.08,Y
121,Tanzania,0.08,Y
122,Dominican Republic,0.08,Y
123,Morocco,0.08,Y
124,Mexico,0.08,Y
125,Malaysia,0.07,Y
126,Thailand,0.07,Y
127,Taiwan,0.07,Y
128,Turks and Caicos,0.07,Y
129,Saint Lucia,0.07,Y
130,Guadeloupe,0.07,Y
131,Niger,0.07,Y
132,Mauritius,0.07,Y
133,Bolivia,0.07,Y
134,Australia,0.06,Y
135,British Virgin Islands,0.06,Y
136,Saint Kitts & Nevis,0.06,Y
137,Cabo Verde,0.06,Y
138,Sierra Leone,0.06,Y
139,Aruba,0.06,Y
140,Netherlands,0.05,Y
141,Guinea-Bissau,0.05,Y
142,Somalia,0.05,Y
143,New Caledonia,0.05,Y
144,Moldova,0.05,Y
145,Jamaica,0.05,Y
146,Côte d'Ivoire,0.05,Y
147,Egypt,0.04,Y
148,South Africa,0.04,Y
149,Grenada,0.04,Y
150,Eritrea,0.04,Y
151,Barbados,0.04,Y
152,Benin,0.04,Y
153,Senegal,0.04,Y
154,Mongolia,0.04,Y
155,Uzbekistan,0.04,Y
156,Indonesia,0.04,Y
157,Kazakhstan,0.03,Y
158,Guam,0.03,Y
159,Botswana,0.03,Y
160,Cyprus,0.03,Y
161,Malta,0.03,Y
162,Jordan,0.03,Y
163,Hong Kong,0.03,Y
164,Nigeria,0.03,Y
165,Iraq,0.03,Y
166,Antigua and Barbuda,0.03,Y
167,Martinique,0.02,Y
168,Cuba,0.02,Y
169,Azerbaijan,0.02,Y
170,Belarus,0.02,Y
171,Iran,0.02,Y
172,Poland,0.01,Y
173,Bermuda,0.01,Y
174,Djibouti,0.01,Y
175,Maldives,0.01,Y
176,Guyana,0.01,Y
177,Bahamas,0.01,Y
178,Haiti,0.01,Y
179,Yemen,0.01,Y
180,Puerto Rico,0.01,Y
181,Lebanon,0.01,Y
182,Syria,0.01,Y
183,Tunisia,0.01,Y
184,Bangladesh,0.01,Y
185,Algeria,0.01,Y
186,Singapore,0,N
187,United Arab Emirates,0,N
188,Tonga,0,N
189,St. Vincent & Grenadines,0,N
190,Western Sahara,0,N
191,Comoros,0,N
192,Gambia,0,N
193,Cayman Islands,0,N
194,Timor-Leste,0,N
195,Seychelles,0,N
196,Liberia,0,N
197,U.S. Virgin Islands,0,N
198,Brunei ,0,N
199,Gibraltar,0,N
200,Libya,0,N
201,Trinidad and Tobago,0,N
202,Bahrain,0,N
203,Israel,0,N
204,Oman,0,N
205,Kuwait,0,N
206,Turkmenistan,0,N
207,Qatar,0,N
208,Saudi Arabia,0,N
209,South Sudan,,N
210,Palau,,N
211,Anguilla,,N
212,Saint Helena,,N
