name,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,co2_emiss_prev_year,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,0,48381759,2.56%,5653634,8.56,0.14%,8.340864,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,0.01,296659670,2.67%,37989220,7.81,0.83%,7.601473,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.13,200708270,0.16%,43508460,4.61,0.56%,4.602624,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,0.05,163419285,1.63%,16981295,9.62,0.46%,9.463194,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,0.03,231919540,1.64%,17830901,13.01,0.65%,12.796636,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,0.07,266251542,6.54%,30684654,8.68,0.74%,8.112328,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,0,218788684,4.43%,9360980,23.37,0.61%,22.334709,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,0.27,233220080,8.03%,44713702,5.22,0.65%,4.800834,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,0.04,219377350,4.72%,94447073,2.32,0.61%,2.210496,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,0.07,271040160,1.55%,68971308,3.93,0.76%,3.869085,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0.12,10432751400,-0.28%,1414049351,7.38,29.18%,7.400664,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,0.13,368122740,5.25%,79827871,4.61,1.03%,4.367975,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,0.07,276724868,1.91%,23618200,11.72,0.77%,11.496148,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0.06,414988700,-0.98%,24262712,17.1,1.16%,17.26758,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,1,48568,1.51%,2928,16.59,0.00%,16.339491,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,0.24,251892320,-3.12%,46634140,5.4,0.70%,5.56848,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,1,52818,7.18%,112524,0.47,0.00%,0.436254,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,0,251375,7.19%,101133,2.49,0.00%,2.310969,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,0.04,390557850,-0.49%,56207646,6.95,1.09%,6.984055,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Pierre & Miquelon,0.5,8842,1.51%,5934,1.49,0.00%,1.467501,,,,,,,,,,,,,,,,,,,,,,,,,,,
