name,proportion,energy_source
Singapore,0.86,Oil
Poland,0.3,Oil
Argentina,0.4,Oil
Netherlands,0.5,Oil
Kazakhstan,0.18,Oil
Malaysia,0.41,Oil
United Arab Emirates,0.39,Oil
Ukraine,0.13,Oil
Egypt,0.41,Oil
Thailand,0.48,Oil
China,0.18,Oil
Turkey,0.31,Oil
Taiwan,0.44,Oil
Australia,0.39,Oil
Falkland Islands,0,Oil
Spain,0.47,Oil
Kiribati,0,Oil
Tonga,1,Oil
South Africa,0.22,Oil
Saint Pierre & Miquelon,0.5,Oil
St. Vincent & Grenadines,1,Oil
Sao Tome & Principe,0.91,Oil
Cook Islands,0.48,Oil
British Virgin Islands,0.94,Oil
Western Sahara,1,Oil
Comoros,1,Oil
Saint Kitts & Nevis,0.94,Oil
Turks and Caicos,0.93,Oil
Vanuatu,0.81,Oil
Dominica,0.85,Oil
Chad,0.9,Oil
Grenada,0.96,Oil
Burundi,0.57,Oil
Guinea-Bissau,0.95,Oil
Solomon Islands,0.91,Oil
Central African Republic,0.76,Oil
Saint Lucia,0.93,Oil
Gambia,1,Oil
Eritrea,0.96,Oil
Samoa,0.91,Oil
Bermuda,0.99,Oil
Cayman Islands,1,Oil
Timor-Leste,1,Oil
Djibouti,0.99,Oil
Somalia,0.95,Oil
Faeroe Islands,0.82,Oil
French Polynesia,0.9,Oil
Lesotho,0.61,Oil
Belize,0.64,Oil
Cabo Verde,0.94,Oil
Seychelles,1,Oil
Sierra Leone,0.94,Oil
Greenland,0.72,Oil
French Guiana,0.64,Oil
Rwanda,0.81,Oil
Liberia,1,Oil
Eswatini,0.52,Oil
Maldives,0.99,Oil
Aruba,0.94,Oil
Guadeloupe,0.93,Oil
Malawi,0.36,Oil
Barbados,0.93,Oil
Guyana,0.99,Oil
Niger,0.76,Oil
Guam,0.97,Oil
Martinique,0.98,Oil
Fiji,0.87,Oil
U.S. Virgin Islands,1,Oil
Suriname,0.75,Oil
Togo,0.76,Oil
Montenegro,0.39,Oil
Mauritania,0.9,Oil
Bahamas,0.99,Oil
Guinea,0.78,Oil
Réunion,0.79,Oil
Haiti,0.99,Oil
Madagascar,0.68,Oil
Mali,0.78,Oil
Burkina Faso,0.92,Oil
State of Palestine,0.7,Oil
Gabon,0.65,Oil
Macao,0.6,Oil
Bhutan,0.09,Oil
Estonia,0.67,Oil
Mauritius,0.72,Oil
Namibia,0.7,Oil
New Caledonia,0.57,Oil
Equatorial Guinea,0.18,Oil
Uganda,0.66,Oil
Benin,0.93,Oil
Macedonia,0.38,Oil
Congo,0.34,Oil
Nicaragua,0.75,Oil
Botswana,0.47,Oil
Papua New Guinea,0.88,Oil
Cyprus,0.96,Oil
Moldova,0.29,Oil
Albania,0.52,Oil
Jamaica,0.87,Oil
Malta,0.88,Oil
El Salvador,0.69,Oil
Dem. Rep. Congo,0.32,Oil
Senegal,0.83,Oil
Yemen,0.79,Oil
Zimbabwe,0.32,Oil
Nepal,0.64,Oil
Lithuania,0,Oil
Cambodia,0.59,Oil
Cameroon,0.49,Oil
Armenia,0.11,Oil
Zambia,0.35,Oil
Brunei ,0.18,Oil
