name,energy,energy_source,,,,,
Singapore,3.63E+12,Oil,,,,,
Poland,4.33E+12,Oil,,,,,
Argentina,3.87E+12,Oil,,,,,
Netherlands,3.94E+12,Oil,,,,,
Kazakhstan,3.57E+12,Oil,,,,,
Malaysia,3.52E+12,Oil,,,,,
United Arab Emirates,4.67E+12,Oil,,,,,
Ukraine,3.63E+12,Oil,,,,,
Egypt,4.01E+12,Oil,,,,,
Thailand,5.52E+12,Oil,,,,,
China,1.39E+14,Oil,,,,,
Turkey,6.43E+12,Oil,,,,,
Taiwan,4.67E+12,Oil,,,,,
Australia,6.13E+12,Oil,,,,,
Falkland Islands,82900000,Oil,,,,,
Spain,5.73E+12,Oil,,,,,
Kiribati,46100000,Oil,,,,,
Tonga,1807000000,Oil,,,,,
South Africa,5.67E+12,Oil,,,,,
Saint Pierre & Miquelon,1982000000,Oil,,,,,
St. Vincent & Grenadines,2596000000,Oil,,,,,
Sao Tome & Principe,2366491000,Oil,,,,,
Cook Islands,1677278000,Oil,,,,,
British Virgin Islands,3397977000,Oil,,,,,
Western Sahara,3022000000,Oil,,,,,
Comoros,3848000000,Oil,,,,,
Saint Kitts & Nevis,3317704000,Oil,,,,,
Turks and Caicos,4606000000,Oil,,,,,
Vanuatu,3059838000,Oil,,,,,
Dominica,3949649000,Oil,,,,,
Chad,4879681000,Oil,,,,,
Grenada,4338852000,Oil,,,,,
Burundi,5374860000,Oil,,,,,
Guinea-Bissau,4395213000,Oil,,,,,
Solomon Islands,4770491000,Oil,,,,,
Central African Republic,7065635000,Oil,,,,,
Saint Lucia,6991213000,Oil,,,,,
Gambia,7564000000,Oil,,,,,
Eritrea,10870852000,Oil,,,,,
Samoa,5672659000,Oil,,,,,
Bermuda,11252000000,Oil,,,,,
Cayman Islands,9514000000,Oil,,,,,
Timor-Leste,8615000000,Oil,,,,,
Djibouti,12152607000,Oil,,,,,
Somalia,12100621000,Oil,,,,,
Faeroe Islands,11506210000,Oil,,,,,
French Polynesia,15199494000,Oil,,,,,
Lesotho,15324212000,Oil,,,,,
Belize,12727469000,Oil,,,,,
Cabo Verde,12660679000,Oil,,,,,
Seychelles,15644000000,Oil,,,,,
Sierra Leone,13386542000,Oil,,,,,
Greenland,12683792000,Oil,,,,,
French Guiana,15686060000,Oil,,,,,
Rwanda,15834435000,Oil,,,,,
Liberia,16601000000,Oil,,,,,
Eswatini,20439383000,Oil,,,,,
Maldives,24704426000,Oil,,,,,
Aruba,17606311000,Oil,,,,,
Guadeloupe,28095517000,Oil,,,,,
Malawi,31388331000,Oil,,,,,
Barbados,24763656000,Oil,,,,,
Guyana,30165867000,Oil,,,,,
Niger,34310284000,Oil,,,,,
Guam,27908500000,Oil,,,,,
Martinique,36175538000,Oil,,,,,
Fiji,38870204000,Oil,,,,,
U.S. Virgin Islands,33991878000,Oil,,,,,
Suriname,38652993000,Oil,,,,,
Togo,41108083000,Oil,,,,,
Montenegro,43490743000,Oil,,,,,
Mauritania,39378962000,Oil,,,,,
Bahamas,42853849000,Oil,,,,,
Guinea,48146986000,Oil,,,,,
Réunion,46915585000,Oil,,,,,
Haiti,48163170000,Oil,,,,,
Madagascar,54364625000,Oil,,,,,
Mali,60540614000,Oil,,,,,
Burkina Faso,49416394000,Oil,,,,,
State of Palestine,65933937000,Oil,,,,,
Gabon,68381605000,Oil,,,,,
Macao,48682524000,Oil,,,,,
Bhutan,61282453000,Oil,,,,,
